ID,firstName,lastName,name,email,domainId,type,status,isHost,createdAt,updatedAt,picture,lastLogin,lastJoin,picture_small,picture_medium,passwordStatus,publicId,source,integrationSource,syncUser,isTrialStarted,isInvited
285,285Name,285lastname,285fullName,a7e7a3345faf4f9d96f192d97f26f2ad@qux.com,1,TRIAL,GUEST,0,2/26/2021 10:53,1/10/2022 8:28,https://lh3.googleusercontent.com/a-/AOh14GjLjY6D-7d0re5-f0iws-nDgtxdDUusyuirG87PYDk=s96-c,7/15/2021 13:02,7/15/2021 13:02,,,VALID,3d6a896e-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,0,0
286,286Name,286lastname,286fullName,deba28773eaa422dac35b7dc047a1d83@foo.am,1,TRIAL,GUEST,0,2/26/2021 10:53,1/10/2022 8:28,https://lh3.googleusercontent.com/a-/AOh14Gi7Q_NZC1iZ5jGJjyhcGnULxQ4IrRXp9gSriWjSSg=s96-c,4/7/2021 13:31,,,,VALID,3d6a8a5e-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,0,0
287,287Name,287lastname,287fullName,6c1ee05563354e74b4701a3bd35adc67@waldo.com,1,TRIAL,GUEST,0,2/26/2021 10:53,1/10/2022 8:28,https://lh4.googleusercontent.com/-z4XlQs8Wi38/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrgmhU8bqCoOEzUPoBYGnLGc9zOQ/s96-c/photo.jpg,5/24/2021 13:29,5/24/2021 13:34,,,VALID,3d6a8b1e-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,0,0
288,288Name,288lastname,288fullName,575790c5dab14bc59c34ce052e548aee@thud.com,1,ENTERPRISE,INVITED,0,2/26/2021 10:53,4/18/2022 16:25,,,,,,VALID,3d6a8bd6-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
289,289Name,289lastname,289fullName,ca059dfdf0af4194a4a9ad0f952b41b0@garply.com,1,TRIAL,INVITED,0,2/26/2021 10:53,4/18/2022 16:25,,,,,,VALID,3d6a8c88-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
293,293Name,293lastname,293fullName,8013315bdb5a4bbf848c986a2ac4b8a1@fred.com,1,ENTERPRISE,INVITED,0,2/26/2021 10:53,4/18/2022 16:25,,,,,,VALID,3d6a9009-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
294,294Name,294lastname,294fullName,8ba15fa76903414c866cc83f4659be84@plugh.com,1,GROUP_ADMIN,REGISTERED,0,2/26/2021 10:53,10/11/2021 11:46,https://lh3.googleusercontent.com/a-/AOh14Ggxg0BKtmC-YW0vAF6hRdkfng23lvQ4Mb2LssZO=s96-c,3/1/2021 16:06,3/1/2021 16:42,,,VALID,3d6a90c8-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
296,296Name,296lastname,296fullName,6cef19116b1d42abac7ed669548fedbc@foo.com,3,ENTERPRISE,REGISTERED,1,2/26/2021 11:03,8/30/2022 15:32,images/profile/mJbBO_1654093180489.png,8/29/2022 15:46,8/30/2022 15:32,image-thumbnails/profile/small_mJbBO_1654093180489.jpg,image-thumbnails/profile/medium_mJbBO_1654093180489.jpg,VALID,3d6a920c-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
297,297Name,297lastname,297fullName,14a10d05341c4a97953c5f9a1cfdc718@quux.com,3,ENTERPRISE,REGISTERED,1,2/26/2021 11:03,10/3/2023 7:01,images/profile/yOwhC_1646209915203.JPG,10/3/2023 7:01,10/3/2023 7:01,image-thumbnails/profile/small_yOwhC_1646209915203.jpg,image-thumbnails/profile/medium_yOwhC_1646209915203.jpg,VALID,3d6a92a9-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
298,298Name,298lastname,298fullName,9a24b1cb855141b691411ecf602c7d09@foo.am,1,TRIAL,REGISTERED,0,2/26/2021 12:16,7/16/2021 14:15,https://lh3.googleusercontent.com/a-/AOh14GgFckVOTNT8IQmEgTcP3TzPlxWnGJyHuHujSE_x=s96-c,2/26/2021 13:29,,,,VALID,3d6a9350-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
300,300Name,300lastname,300fullName,509ea6e917334cc18d409e3ad9873510@fred.com,3,ENTERPRISE,REGISTERED,1,2/26/2021 12:20,10/4/2023 13:30,images/profile/2IsFd_1679032904896.png,10/3/2023 12:00,10/4/2023 13:30,image-thumbnails/profile/small_2IsFd_1679032904896.jpg,image-thumbnails/profile/medium_2IsFd_1679032904896.jpg,VALID,3d6a9490-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
301,301Name,301lastname,301fullName,dcab06ce38eb4f4cac125379fc85c80b@baz.org,1,TRIAL,REGISTERED,0,2/26/2021 12:25,7/16/2021 14:15,https://lh5.googleusercontent.com/-4oyoWZ_nTd4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckm9COiJ2ySCE9RaO52exS1A_ZSWA/s96-c/photo.jpg,2/26/2021 15:25,,,,VALID,3d6a955c-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
302,302Name,302lastname,302fullName,e42e3c85d734488895f44a0d79d4281e@qux.com,3,ENTERPRISE,REGISTERED,0,2/26/2021 12:28,7/16/2021 14:15,https://lh3.googleusercontent.com/-QolPYc9QSTg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXwinzkwiRjE59HB9KeLKIXGzOVQ/s96-c/photo.jpg,3/1/2021 16:06,3/1/2021 10:57,,,VALID,3d6a9601-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
304,304Name,304lastname,304fullName,58bfae300dc84e518825a03f78ecdc64@plugh.com,1,TRIAL,REGISTERED,0,2/26/2021 14:55,7/16/2021 14:15,https://s.gravatar.com/avatar/2f0dcea12d588da5fa65af4401caa744?s=480&r=pg&d=https%3A%2F%2Fcdn.auth0.com%2Favatars%2Fin.png,2/26/2021 15:18,3/2/2021 15:10,,,VALID,3d6a9745-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
306,306Name,306lastname,306fullName,c68c95c98ba745b7a247a405ad704312@grault.com,3,ENTERPRISE,REGISTERED,1,2/26/2021 15:16,9/25/2023 11:40,images/profile/SDqxu_1673708837625.jpg,9/25/2023 11:40,9/19/2023 13:22,image-thumbnails/profile/small_SDqxu_1673708837625.jpg,image-thumbnails/profile/medium_SDqxu_1673708837625.jpg,VALID,3d6a97e9-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
309,309Name,309lastname,309fullName,3672f2c828384d0ca9a6889698374295@baz.com,3,ENTERPRISE,INVITED,0,2/26/2021 15:40,4/18/2022 16:25,,,,,,VALID,3d6a9892-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
310,310Name,310lastname,310fullName,75c9c432f8dd4a10bd1bb73287295770@bar.net,1,TRIAL,REGISTERED,1,2/26/2021 16:04,8/10/2023 18:41,https://s.gravatar.com/avatar/4874b44c7c9d6b8333e5940b86532526?s=480&r=pg&d=https%3A%2F%2Fcdn.auth0.com%2Favatars%2Fak.png,8/10/2023 18:41,5/31/2023 9:10,,,VALID,3d6a9930-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
311,311Name,311lastname,311fullName,f0d0a7fab99d4ea397d823d97f0dd4a5@thud.com,1,TRIAL,REGISTERED,0,2/26/2021 16:07,7/16/2021 14:15,https://s.gravatar.com/avatar/e2d6881447b67835484a03e29c7142b9?s=480&r=pg&d=https%3A%2F%2Fcdn.auth0.com%2Favatars%2Fka.png,,,,,VALID,3d6a99cf-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
312,312Name,312lastname,312fullName,51ca8464618942e0b39472bb26c87777@grault.com,1,TRIAL,REGISTERED,0,2/26/2021 16:34,7/16/2021 14:15,https://s.gravatar.com/avatar/bc2a975d680224e22b96454852620c03?s=480&r=pg&d=https%3A%2F%2Fcdn.auth0.com%2Favatars%2Fka.png,,,,,VALID,3d6a9a6d-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
314,314Name,314lastname,314fullName,7d21a5c49a784746bb344587c68a8852@grault.com,3,ENTERPRISE,REGISTERED,1,2/27/2021 9:07,10/4/2023 8:06,images/profile/cHYRztcv2N.jpg,8/25/2023 9:06,10/4/2023 8:06,image-thumbnails/profile/small_cHYRztcv2N.jpg,image-thumbnails/profile/medium_cHYRztcv2N.jpg,VALID,3d6a9b9f-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
317,317Name,317lastname,317fullName,9abd6d0b20f94cda82d1b91c89ebe10f@foobar.com,1,GROUP_ADMIN,REGISTERED,1,2/27/2021 10:08,2/18/2022 11:04,https://s.gravatar.com/avatar/fab09830e77559e35e841e3ec8c628e5?s=480&r=pg&d=https%3A%2F%2Fcdn.auth0.com%2Favatars%2Fhl.png,1/31/2022 5:57,2/18/2022 11:04,,,VALID,3d6a9c47-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
318,318Name,318lastname,318fullName,61bf0f1a1ace4107bf0d51b5e950e4ea@corge.com,1,TRIAL,REGISTERED,0,2/27/2021 10:20,8/9/2023 12:10,images/profile/3XfVr_1676292759234.png,8/9/2023 12:10,8/9/2023 12:07,image-thumbnails/profile/small_3XfVr_1676292759234.jpg,image-thumbnails/profile/medium_3XfVr_1676292759234.jpg,VALID,3d6a9cd9-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
319,319Name,319lastname,319fullName,e20a34fc08d94b68b961f855e0bf99e5@foo.com,1,TRIAL,REGISTERED,0,2/27/2021 10:32,1/12/2022 10:40,images/profile/mN0jW_1636111962472.png,1/12/2022 10:13,1/12/2022 10:40,image-thumbnails/profile/small_mN0jW_1636111962472.jpg,image-thumbnails/profile/medium_mN0jW_1636111962472.jpg,VALID,3d6a9d7c-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
320,320Name,320lastname,320fullName,8d58ed15d20a415da7a165d012bfbc64@qux.com,1,TRIAL,REGISTERED,0,2/28/2021 13:24,7/16/2021 14:15,https://lh3.googleusercontent.com/-7cnC0SpODF4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6qB1tR9ROM4Fg8vlWAbeOIknq2w/s96-c/photo.jpg,2/28/2021 13:24,,,,VALID,3d6a9e1c-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
321,321Name,321lastname,321fullName,6c33d95ceaec4b17ae2d52104819cfd1@plugh.com,1,SUB_ACCOUNT,INVITED,0,2/28/2021 13:47,4/18/2022 16:25,,,,,,VALID,3d6a9ec1-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
322,322Name,322lastname,322fullName,8ebcd3efb5ea42a2ab11bae831a55c17@grault.com,1,SUB_ACCOUNT,INVITED,0,2/28/2021 13:55,4/18/2022 16:25,,,,,,VALID,3d6a9f8e-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
323,323Name,323lastname,323fullName,c363dcc7a3e64b2a98fd6e04fc345685@foobar.com,1,SUB_ACCOUNT,INVITED,0,2/28/2021 14:00,4/18/2022 16:25,,,,,,VALID,3d6aa031-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,1,0,0
324,324Name,324lastname,324fullName,36ef9d2dafda4b2ab9bea5dccf206fdd@baz.com,1,GROUP_ADMIN,REGISTERED,1,3/1/2021 4:28,9/6/2022 9:45,images/profile/SgTH1_1636112369204.JPG,9/6/2022 9:44,9/6/2022 9:45,image-thumbnails/profile/small_SgTH1_1636112369204.jpg,image-thumbnails/profile/medium_SgTH1_1636112369204.jpg,VALID,3d6aa100-e640-11eb-b0ea-0a63f66d60dd,HOST_VIEW,,0,1,0
